quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BTC/USDT Momentum ATR ПРОПУЩЕН: устарел на 1071с
quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BTC/USDT Pullback ПРОПУЩЕН: устарел на 1071с
quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BTC/USDT Range Expansion ПРОПУЩЕН: устарел на 1071с
quant_trading_engine  | 2026-03-23 13:17:51 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ADA/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:51 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ADA/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:51 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ADA/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BTC/USDT Opening Range ПРОПУЩЕН: устарел на 4671с
quant_trading_engine  | 2026-03-23 13:17:51 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ADA/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ETH/USDT Pullback ПРОПУЩЕН: устарел на 171с
quant_trading_engine  | 2026-03-23 13:17:51 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ETH/USDT Opening Range ПРОПУЩЕН: устарел на 171с
quant_trading_engine  | 2026-03-23 13:17:52 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для TRX/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:52 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для TRX/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:52 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для TRX/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:52 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для TRX/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:52 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для TRX/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:52 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ETH/USDT Momentum ATR ПРОПУЩЕН: устарел на 172с
quant_trading_engine  | 2026-03-23 13:17:53 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ETH/USDT Range Expansion ПРОПУЩЕН: устарел на 1073с
quant_trading_engine  | INFO:     149.154.166.110:28396 - "GET /api/v1/status HTTP/1.1" 200 OK
quant_trading_engine  | 2026-03-23 13:17:53 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LINK/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:53 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LINK/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:53 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LINK/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:54 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LINK/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:54 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [BTC/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:17:54 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LINK/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:55 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал SOL/USDT Opening Range ПРОПУЩЕН: устарел на 175с
quant_trading_engine  | 2026-03-23 13:17:55 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал SOL/USDT Momentum ATR ПРОПУЩЕН: устарел на 175с
quant_trading_engine  | 2026-03-23 13:17:55 | INFO     | services.signal_engine.engine:_process_ohlcv:298 - 🔍 [ETH/USDT] Scorer отклонил Donchian: 0.42 < 0.65
quant_trading_engine  | 2026-03-23 13:17:55 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для DOT/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:55 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для DOT/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:56 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал SOL/USDT Range Expansion ПРОПУЩЕН: устарел на 1076с
quant_trading_engine  | 2026-03-23 13:17:56 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для DOT/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:56 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для DOT/USDT (1h)
