Монета,ТФ,Стратегия,Сделок,Win Rate,Profit USD,Max DD %,Sharpe,PF
DOT/USDT,15m,StrategyFakeout,2,0.0,-116.83,1.17,-39.0669,0.0
BNB/USDT,1h,StrategyDonchian,26,61.53999999999999,-123.22,2.82,-0.0896,0.5153
AVAX/USDT,1h,StrategyDonchian,25,60.0,-124.96,5.66,-0.0552,0.5928
LTC/USDT,4h,StrategyDonchian,1,0.0,-128.11,1.28,-128112575758.3263,0.0
BNB/USDT,4h,StrategyRuleOf7,3,33.33,-130.99,2.1,-0.4905,0.7628
BNB/USDT,4h,StrategyWRD,3,33.33,-130.99,2.1,-0.4905,0.7628
BNB/USDT,4h,StrategyDonchian,3,33.33,-130.99,2.1,-0.4905,0.7628
ETH/USDT,1h,StrategyRuleOf7,27,62.96000000000001,-131.07,5.36,-0.0591,0.5169
LINK/USDT,15m,StrategyWRD,121,60.33,-133.19,6.82,-0.0225,0.6262
NEAR/USDT,4h,StrategyDonchian,5,60.0,-153.31,2.41,-0.1804,0.4519
LTC/USDT,15m,StrategyWRD,111,64.86,-157.06,5.41,-0.0428,0.4905
LTC/USDT,15m,StrategyDonchian,104,62.5,-161.45,4.09,-0.0469,0.5397
XRP/USDT,4h,StrategyMATrend,1,0.0,-168.95,1.69,-168952558135.392,0.0
SOL/USDT,15m,StrategyRuleOf7,118,63.56,-180.82,5.92,-0.0318,0.5342
SOL/USDT,1h,StrategyRuleOf7,31,58.06,-185.67,5.87,-0.0707,0.6198
DOGE/USDT,15m,StrategyFakeout,4,0.0,-185.82,1.86,-3.6633,0.0
DOGE/USDT,4h,StrategyRuleOf7,1,0.0,-188.26,1.88,-188255826379.9848,0.0
AVAX/USDT,15m,StrategyMATrend,3,0.0,-197.42,1.97,-5.7564,0.0
DOGE/USDT,4h,StrategyDonchian,1,0.0,-204.16,2.04,-204164744317.5974,0.0
DOT/USDT,4h,StrategyDonchian,1,0.0,-217.92,2.18,-217918317220.2262,0.0
DOT/USDT,15m,StrategyRuleOf7,116,57.76,-218.59,12.9,-0.0315,0.6809
NEAR/USDT,15m,StrategyBollingerMR,3,0.0,-221.01,2.21,-380.481,0.0
ADA/USDT,4h,StrategyDonchian,1,0.0,-225.72,2.26,-225715805241.3024,0.0
LINK/USDT,1h,StrategyMATrend,2,0.0,-232.07,2.32,-6.3694,0.0
ADA/USDT,4h,StrategyRuleOf7,3,33.33,-233.64,3.51,-0.532,0.6848
DOT/USDT,4h,StrategyWRD,1,0.0,-240.46,2.4,-240463325075.7,0.0
